"Jonas Aurelianensis, Epistola ad Waltcaudum Leodiensem","Vienna, ONB, 550",1r-2v,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
Passio S Hugberti,"Vienna, ONB, 550",2v-32r,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
Passio S Luciae,"Vienna, ONB, 550",33r-37r,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
Passio S Anastasiae,"Vienna, ONB, 550",37r-40r,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
Passio S Caeciliae,"Vienna, ONB, 550",40r-59r,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
Passio S Eugeniae,"Vienna, ONB, 550",59r-74r,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
Passio S Euphemiae,"Vienna, ONB, 550",74r-84v,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
Gospel of Pseudo-Matthew,"Vienna, ONB, 550",85r-93v,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
Vita S Vedasti,"Vienna, ONB, 550",94r-108v,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
"Alcuin, Homelia in die natali S Vedasti","Vienna, ONB, 550",109r-112r,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
"Alcuin, Versus duo in abbatem Radonem","Vienna, ONB, 550",112r,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
"Alcuin, Hymnus in Vedastum","Vienna, ONB, 550",112r-112v,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
"Alcuin, Versus aliquot in S Vedastum","Vienna, ONB, 550",113r-113v,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
Passio SS Faustini et Iovitae,"Vienna, ONB, 550",114r-125v,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
"Ambrose, Commentarius in epistolam primam Pauli ad Corinthios","Vienna, ONB, 550",125v-129v,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,extracts
Passio S Christophori,"Vienna, ONB, 550",130v-135r,A1a1,800-899,N France,http://data.onb.ac.at/dtl/2939587,
Gospel of Pseudo-Matthew,"Rheims, BM 1395",2r-17r,A1a2,850,Rheims,https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?COMPOSITION_ID=4147,
Transitus of Mary (Ps-Melito),"Rheims, BM 1395",18r-25v,A1a2,850,Rheims,https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?COMPOSITION_ID=4147,
